Date,Location,Lat,Long,Involved Parties,Event Type,Description,Consequences,Source
2025-04-02,Nadapal,4.2333,33.7333,"Turkana raiders / Toposa herders","Cattle Raid","Turkana raiders attacked Toposa herders in Nadapal, stealing an unspecified number of cattle.","Cattle stolen; no casualties reported.","Radio Tamazuj"
2025-03-28,Kapoeta East,4.7571,33.5902,"Turkana raiders / Toposa herders","Cattle Raid","Turkana raiders attacked Toposa herders in Kapoeta East, stealing 20 cattle.","20 cattle stolen; no casualties reported.","Radio Tamazuj"
2025-03-15,Kibish,4.3755,35.7340,"Toposa raiders / Turkana herders","Cattle Raid","Toposa raiders attacked Turkana herders in Kibish, stealing an unspecified number of cattle.","Cattle stolen; no casualties reported.","The Star"
2025-03-11,Baragoi,1.7353,36.7689,"Turkana Bandits / Samburu Community","Cattle Raid","Armed Turkana bandits raided a Samburu village in Baragoi, stealing livestock and engaging in a firefight.","6 killed, 8 injured, 700 livestock stolen","Daily Nation, Reuters, The Star, Tuko TV"
2025-03-10,Turkana North,3.6380,35.8573,"Turkana bandits / Samburu community","Cattle Raid","Turkana bandits raided a Samburu village in Turkana North, stealing livestock.","Livestock stolen; no casualties reported.","Daily Nation"
2025-02-25,Lorengippi,3.2558,35.5157,"Pokot raiders / Turkana residents","Cattle Raid","Pokot raiders attacked Lorengippi, killing eight people and injuring five others during a cattle raid.","8 killed, 5 injured, dozens displaced.","The New Humanitarian"
2025-02-22,Todonyang,4.6035,35.9440,"Turkana fishermen (Kenya) / Dassanech militia (Ethiopia)","Cross-border attack","Dassanech militia ambushed Turkana fishermen near the Omo River in Todonyang.","53 killed, 22 missing","Reuters, Daily Nation"
2025-02-10,Kainuk,2.1886,35.7519,"Turkana gunmen / Local residents / Police","Cattle Raid","Turkana gunmen attempted to steal livestock in Kainuk but were repelled by local residents and police, resulting in a shootout.","2 gunmen killed, no livestock stolen, 1 civilian injured.","The Star"
2025-01-25,Kibish,4.3755,35.7340,"Ethiopian Nyangatom raiders / Turkana herders","Cattle Raid","Ethiopian Nyangatom raiders attacked a Turkana kraal in Natapar area, Kibish, killing a 16-year-old boy and stealing an unspecified number of livestock.","1 killed, livestock stolen; police mobilized to pursue the raiders.","The Star"
2025-01-15,Songok,1.3981,35.2311,"Loron village bandits (Turkana) / Songok village residents (West Pokot)","Cattle Raid","Suspected bandits from Loron village in Turkana County raided Songok village in West Pokot County, kidnapping an 11-year-old boy and stealing an unspecified number of cattle.","1 child kidnapped, livestock stolen; local chief expressed shock and urged law enforcement to take swift action.","Tuko.co.ke"
2025-01-10,Kainuk,2.1886,35.7519,"Turkana gunmen / Local residents / Police","Cattle Raid","Turkana gunmen attempted to steal livestock in Kainuk but were repelled by local residents and police, resulting in a shootout.","2 gunmen killed, no livestock stolen, 1 civilian injured; police launched a manhunt for the perpetrators.","The Star"
2024-12-20,Lorengippi,3.2558,35.5157,"Pokot raiders / Turkana residents","Cattle Raid","Approximately 300 Pokot raiders attacked Lorengippi, killing eight people and injuring five others during a cattle raid.","8 killed, 5 injured, dozens displaced.","The New Humanitarian"
