Date,Location,Involved Parties,Event Type,Description,Consequences,Source
2025-02-21,Kobebe (Uganda),"Turkana (Kenya) / Karamojong (Uganda) / Uganda People's Defence Force (UPDF)","Peace Agreement / Disarmament","Turkana and Karamojong communities reaffirmed commitment to the MoU on cross-border peace, supporting a disarmament operation led by UPDF.","Commitment to disarmament and peaceful coexistence; no immediate casualties reported.","Kenya News Agency"
2024-10-31,Kaabong (Uganda),"Turkana (Kenya) / Dodoth (Uganda)","Peace Agreement","Turkana and Dodoth communities signed a peace deal to end enmity and allow joint grazing of livestock.","Agreement to reunite a missing child; formation of kraal/peace committees.","Kenya News Agency"
2024-10-19,Lokiriama (Kenya),"Ateker Communities (Kenya, Uganda, South Sudan, Ethiopia)","Peace Accord","The 51st Lokiriama Peace Accord produced an 11-point resolution to strengthen peace efforts among the Ateker communities.","Enhanced cross-border relations; establishment of peace committees.","Turkana County Government"
2024-08-13,Laisamis (Kenya),"Isiolo / Samburu / Marsabit / Meru Counties","Peace Accord","Counties signed a peace agreement to end conflicts over water, pasture, and land disputes.","Commitment to stop armed herding; joint peace initiatives.","Eastleigh Voice"
2024-08-09,Kainuk (Kenya),"Turkana / Pokot Peace Committees","Peace Meeting","Peace committees from Turkana and Pokot convened to address conflicts and promote peaceful coexistence.","Implementation of compensation plans; commitment to peace.","Turkana County Government"
2024-11-01,Moroto (Uganda),"Turkana (Kenya) / Karamojong (Uganda) / Toposa (South Sudan) / Didinga (South Sudan)","Peace Resolutions","Leaders from Ateker border communities signed resolutions to enhance peaceful co-existence and support disarmament.","Commitment to mobilize communities for disarmament; establishment of joint committees.","East African Community"
1973-12-01,Lokiriama,"Turkana (Kenya) / Matheniko (Uganda)","Peace Accord","The Lokiriama Peace Accord was signed to promote peaceful coexistence between the Turkana and Matheniko communities, including a symbolic burial of conflict instruments.","Reduced conflicts between Turkana and Matheniko communities, improved cross-border relations.","en.wikipedia.org"
2022-10-13,Turkana South,"Kenya Government / Turkana Youth","Disarmament Initiative","Governor Jeremiah Lomorukai criticized selective disarmament exercises targeting Turkana communities, which led to increased vulnerability to bandit attacks.","Increased insecurity in Turkana South and East.","turkana.go.ke"
2023-05-10,Turkana South,"Turkana Youth / Kenya Police","Voluntary Firearm Surrender","20 Turkana youths voluntarily surrendered illegal firearms during a Baraza in Kakong'u, Turkana South, expressing a desire for peace.","Surrender of firearms, increased trust between youth and government authorities.","the-star.co.ke"
2024-11-01,Moroto (Uganda),"Turkana (Kenya) / Karamojong (Uganda) / Toposa (South Sudan) / Didinga (South Sudan)","Cross-Border Peace Agreement","Leaders from the Turkana, Karamojong, Toposa, and Didinga communities met in Moroto, Uganda, signing a joint report to promote peaceful coexistence and cultural linkages.","Commitment to peaceful coexistence and support for disarmament efforts.","eac.int"
